County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Dutchess,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Lactuca floridana,False Lettuce,1851,Endangered,not listed,S1,G5,Possible but not Confirmed
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Cardamine douglassii,Purple Cress,not available,Threatened,not listed,S2S3,G5,Historically Confirmed
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Hydrastis canadensis,Goldenseal,2007,Threatened,not listed,S2,G3G4,Recently Confirmed
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Pedicularis lanceolata,Swamp Lousewort,1985,Threatened,not listed,S2S3,G5,Recently Confirmed
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Scheuchzeria palustris,Pod Grass,not available,Rare,not listed,S3,G5,Historically Confirmed
Dutchess,Plant,Flowering Plants,Sedges,Carex bicknellii,Bicknell's Sedge,2015,Rare,not listed,S3,G5T5,Recently Confirmed
Dutchess,Plant,Flowering Plants,Sedges,Eleocharis aestuum,Tidal Spike Rush,1936,Endangered,not listed,S1,G3,Historically Confirmed
Erie,Animal,Birds,Owls,Asio flammeus,Short-eared Owl,2014,Endangered,not listed,S2,G5,Recently Confirmed
Erie,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,2002,Threatened,not listed,S3B,G4,Recently Confirmed
Erie,Animal,Fish,Darters and Sunfishes,Ammocrypta pellucida,Eastern Sand Darter,1991,Threatened,not listed,S2S3,G4,Recently Confirmed
Erie,Plant,Ferns and Fern Allies,Ferns,Cystopteris protrusa,Lowland Fragile Fern,1927,Endangered,not listed,S1,G5,Historically Confirmed
Erie,Plant,Ferns and Fern Allies,Quillworts,Selaginella eclipes,Hidden Spike Moss,not available,Endangered,not listed,S1,G4,Historically Confirmed
Erie,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Lactuca hirsuta,Downy Lettuce,1921,Endangered,not listed,S1,G5?,Historically Confirmed
Erie,Plant,Flowering Plants,Grasses,Sphenopholis obtusata,Prairie Wedgegrass,1934,Endangered,not listed,S1,G5,Possible but not Confirmed
Erie,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,1946,Endangered,not listed,S1,G4,Historically Confirmed
Erie,Plant,Flowering Plants,Other Flowering Plants,Astragalus neglectus,Cooper's Milkvetch,1934,Endangered,not listed,S1,G4,Historically Confirmed
Erie,Plant,Flowering Plants,Other Flowering Plants,Castilleja coccinea,Scarlet Indian-paintbrush,1926,Endangered,not listed,S1,G5,Historically Confirmed
Erie,Plant,Flowering Plants,Other Flowering Plants,Chaerophyllum procumbens var. procumbens,Spreading Chervil,not available,Endangered,not listed,S1,G5T5,Recently Confirmed
Erie,Plant,Flowering Plants,Other Flowering Plants,Dracocephalum parviflorum,American Dragonhead,not available,Endangered,not listed,S1,G5,Historically Confirmed
Erie,Plant,Flowering Plants,Other Flowering Plants,Lysimachia quadriflora,Four-flowered Loosestrife,1991,Endangered,not listed,S1,G5?,Recently Confirmed
Erie,Plant,Flowering Plants,Other Flowering Plants,Persicaria setacea,Swamp Smartweed,1940,Endangered,not listed,S1S2,G5,Historically Confirmed
Erie,Plant,Flowering Plants,Other Flowering Plants,Plantago cordata,Heart-leaved Plantain,1999,Rare,not listed,S3,G4,Recently Confirmed
Erie,Plant,Flowering Plants,Sedges,Carex sartwellii,Sartwell's Sedge,not available,Endangered,not listed,S1S2,G4G5,Historically Confirmed
Erie,Plant,Flowering Plants,Sedges,Cyperus erythrorhizos,Red-rooted Flat Sedge,not available,Rare,not listed,S3,G5,Historically Confirmed
Erie,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,not available,Endangered,not listed,S1S2,G5,Historically Confirmed
Essex,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2013,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Essex,Animal,Birds,"Grouse, Pheasants, Turkeys",Falcipennis canadensis,Spruce Grouse,2000,Endangered,not listed,S2,G5,Recently Confirmed
Essex,Animal,Birds,Owls,Asio flammeus,Short-eared Owl,2001,Endangered,not listed,S2,G5,Recently Confirmed
Essex,Plant,Ferns and Fern Allies,Clubmosses,Diphasiastrum complanatum,Northern Running-pine,2003,Endangered,not listed,S1S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Grasses,Calamagrostis stricta ssp. inexpansa,New England Northern Reed Grass,2006,Threatened,not listed,S2,G5T5,Recently Confirmed
Essex,Plant,Flowering Plants,Grasses,Poa glauca ssp. glauca,Glaucous Blue Grass,1997,Endangered,not listed,S1,G5T5,Recently Confirmed
Essex,Plant,Flowering Plants,Orchids,Cypripedium arietinum,Ram's-head Lady's Slipper,1996,Threatened,not listed,S2,G3,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Betula glandulosa,Tundra Dwarf Birch,2013,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Descurainia pinnata ssp. brachycarpa,Northern Tansy-mustard,1988,Endangered,not listed,S1,G5T5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Galium kamtschaticum,Northern Wild Licorice,2000,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Houstonia purpurea var. calycosa,Southern Bluets,1941,Endangered,not listed,SH,G5T5,Historically Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Myriophyllum farwellii,Farwell's Water Milfoil,not available,Threatened,not listed,S2,G5,Historically Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Potamogeton diversifolius,Southern Snailseed Pondweed,not available,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Pterospora andromedea,Pinedrops,1905,Endangered,not listed,S1,G5,Historically Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Rhododendron lapponicum,Lapland Rosebay,2013,Endangered,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Vaccinium boreale,Northern Lowbush Blueberry,2016,Threatened,not listed,S2,G4,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Vaccinium uliginosum,Bog Bilberry,not available,Rare,not listed,S3,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Rushes,Oreojuncus trifidus,Arctic Rush,2016,Threatened,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex lupuliformis,False Hop Sedge,2011,Threatened,not listed,S2,G4,Recently Confirmed
Franklin,Plant,Ferns and Fern Allies,Ferns,Dryopteris fragrans,Fragrant Cliff Fern,not available,Endangered,not listed,S1S2,G5,Recently Confirmed
Franklin,Plant,Flowering Plants,Sedges,Carex haydenii,Cloud Sedge,2005,Endangered,not listed,S1S2,G5,Recently Confirmed
Fulton,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,not available,Endangered,not listed,S1,G4,Historically Confirmed
Fulton,Plant,Flowering Plants,Other Flowering Plants,Myriophyllum alterniflorum,Alternate-flowered Water Milfoil,not available,Threatened,not listed,S2,G5,Historically Confirmed
Genesee,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,2001,Threatened,not listed,S3B,G4,Recently Confirmed
Genesee,Plant,Flowering Plants,Grasses,Panicum flexile,Wiry Panic Grass,1990,Rare,not listed,S3,G5,Recently Confirmed
Genesee,Plant,Flowering Plants,Other Flowering Plants,Lathyrus ochroleucus,Pale Vetchling,not available,Rare,not listed,S3,G5,Recently Confirmed
Genesee,Plant,Flowering Plants,Other Flowering Plants,Triglochin palustris,Marsh Arrow Grass,2004,Threatened,not listed,S2,G5,Recently Confirmed
Genesee,Plant,Flowering Plants,Sedges,Trichophorum cespitosum ssp. cespitosum,Deer's Hair Sedge,2004,Threatened,not listed,S2,G5,Recently Confirmed
Greene,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2013,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Greene,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon,2009,Endangered,not listed,S3B,G4,Recently Confirmed
Greene,Plant,Ferns and Fern Allies,Ferns,Botrychium rugulosum,Rugulose Grape Fern,not available,Endangered,not listed,S1,G3,Historically Confirmed
Greene,Plant,Ferns and Fern Allies,Ferns,Dryopteris fragrans,Fragrant Cliff Fern,2000,Endangered,not listed,S1S2,G5,Recently Confirmed
Greene,Plant,Ferns and Fern Allies,Quillworts,Isoetes lacustris,Large-spored Quillwort,not available,Rare,not listed,S3,G5,Historically Confirmed
Greene,Plant,Flowering Plants,Other Flowering Plants,Adoxa moschatellina,Musk Root,2005,Endangered,not listed,S1,G5,Recently Confirmed
Hamilton,Animal,Fish,Salmon and Trout,Prosopium cylindraceum,Round Whitefish,1992,Endangered,not listed,S1S2,G5,Recently Confirmed
Hamilton,Plant,Flowering Plants,Grasses,Calamagrostis pickeringii,Pickering's Reed Grass,not available,Rare,not listed,S3,G5,Recently Confirmed
Hamilton,Plant,Flowering Plants,Other Flowering Plants,Galium kamtschaticum,Northern Wild Licorice,1964,Endangered,not listed,S1,G5,Historically Confirmed
Hamilton,Plant,Flowering Plants,Other Flowering Plants,Myriophyllum farwellii,Farwell's Water Milfoil,1989,Threatened,not listed,S2,G5,Recently Confirmed
Herkimer,Plant,Flowering Plants,Other Flowering Plants,Epilobium hornemannii ssp. hornemannii,Alpine Willow-herb,not available,Endangered,not listed,S1,G5T5,Possible but not Confirmed
Herkimer,Plant,Flowering Plants,Other Flowering Plants,Pycnanthemum verticillatum var. verticillatum,Whorled Mountain Mint,not available,Endangered,not listed,S1S2,G5T5,Historically Confirmed
Herkimer,Plant,Flowering Plants,Other Flowering Plants,Triglochin palustris,Marsh Arrow Grass,1970,Threatened,not listed,S2,G5,Possible but not Confirmed
Herkimer,Plant,Flowering Plants,Other Flowering Plants,Utricularia minor,Lesser Bladderwort,not available,Rare,not listed,S3,G5,Historically Confirmed
Herkimer,Plant,Flowering Plants,Sedges,Carex arcta,Northern Clustered Sedge,1994,Endangered,not listed,S1,G5,Recently Confirmed
Herkimer,Plant,Flowering Plants,Sedges,Carex crawei,Crawe's Sedge,1910,Threatened,not listed,S2,G5,Historically Confirmed
Herkimer,Plant,Flowering Plants,Sedges,Carex gynocrates,Northern Bog Sedge,not available,Endangered,not listed,S1,G5,Historically Confirmed
Herkimer,Plant,Flowering Plants,Sedges,Carex meadii,Mead's Sedge,not available,Endangered,not listed,SH,G4G5,Historically Confirmed
Herkimer,Plant,Flowering Plants,Sedges,Rhynchospora fusca,Sooty Beak Sedge,not available,Rare,not listed,S3S4,G4G5,Historically Confirmed
Jefferson,Animal,Birds,Owls,Asio flammeus,Short-eared Owl,2012,Endangered,not listed,S2,G5,Recently Confirmed
Jefferson,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,2016,Threatened,not listed,S3B,G4,Recently Confirmed
Jefferson,Animal,Butterflies and Moths,Butterflies and Skippers,Plebejus melissa samuelis,Karner Blue,not available,Endangered,Endangered,S1,G5T2,Historically Confirmed
Jefferson,Plant,Flowering Plants,Other Flowering Plants,Callitriche hermaphroditica,Autumnal Water-starwort,1931,Endangered,not listed,S1,G5,Historically Confirmed
Jefferson,Plant,Flowering Plants,Other Flowering Plants,Ceratophyllum echinatum,Prickly Hornwort,not available,Rare,not listed,S3,G4?,Recently Confirmed
Jefferson,Plant,Flowering Plants,Other Flowering Plants,Primula mistassinica,Bird's Eye Primrose,2007,Threatened,not listed,S2,G5,Recently Confirmed
Jefferson,Plant,Flowering Plants,Other Flowering Plants,Salix cordata,Sand Dune Willow,2012,Threatened,not listed,S2,G4,Recently Confirmed
Jefferson,Plant,Flowering Plants,Rushes,Juncus stygius var. americanus,Moor Rush,not available,Endangered,not listed,SH,G5T5,Historically Confirmed
Jefferson,Plant,Flowering Plants,Sedges,Carex aggregata,Glomerate Sedge,1949,Endangered,not listed,S2,G5,Historically Confirmed
Jefferson,Plant,Flowering Plants,Sedges,Carex echinodes,Bristly Nodding Sedge,not available,Endangered,not listed,S1,G5TNR,Recently Confirmed
Jefferson,Plant,Flowering Plants,Sedges,Carex molesta,Troublesome Sedge,2012,Threatened,not listed,S2S3,G4,Recently Confirmed
Jefferson,Plant,Flowering Plants,Sedges,Carex willdenowii,Willdenow's Sedge,not available,Rare,not listed,S2S3,G5,Historically Confirmed
Jefferson,Plant,Flowering Plants,Sedges,Schoenoplectus heterochaetus,Slender Bulrush,2014,Endangered,not listed,S2,G5,Recently Confirmed
Kings,Animal,Butterflies and Moths,Butterflies and Skippers,Plebejus melissa samuelis,Karner Blue,not available,Endangered,Endangered,S1,G5T2,Extirpated
Kings,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum subulatum var. subulatum,Annual Saltmarsh Aster,not available,Threatened,not listed,S2S3,G5,Extirpated
